country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Malawi,"Kendig C.E., Samuel J.C., Varela C., et al.",14-Apr,"Pediatric surgical care in Lilongwe, Malawi: Outcomes and opportunities for improvement",Other: Retrospective descriptive study,01/2012 - 12/2012,Pediatric surgery database,"Kamuzu Central Hospital (KCH), Lilongwe, Malawi (referral center)",9 million persons,600,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,yes,"""The pediatric surgery database included all
admitted patients under the age of 18 years with a pediatric surgical diagnosis (defined as being admitted to the pediatric surgical ward or having the required pediatric surgical consultation). """,4 general; 3 orthopedic; 10 resident general surgery residency;  1 pediatric critical care specialist,"“During the study period, there were four full-time general surgeons, three full-time orthopedic surgeons…”;

""...10-resident general surgery residency training program."";

""... one pediatric critical care specialist.""",Not specified,“Lack of adequate pediatric anesthesia…”,NA,NA,Multiple clinical officers,“Multiple clinical officers and a 10-resident general surgery residency training program.”,NA,NA,1170 pediatric patients,NA,NA,NA,NA,NA
Tanzania,"Keating E.M., Sakita F., Mmbaga B.T., et al.",22-Jun,A cohort of pediatric injury patients from a hospital-based trauma registry in Northern Tanzania,Other: Prospective observational study,11/2020 - 10/2021,Primary data collection,Kilimanjaro Christian Medical Centre (KCMC),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""The pediatric trauma registry was established at KCMC in November 2020. It is currently ongoing with prospective consecutive enrollment of all patients less than 18 years of age presenting to KCMC Emergency Department for treatment of an injury.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365 patients,NA,NA,NA,NA,NA
Sub-Saharan Africa,"Kantar R.S., Hamdan U.S., Muller J.N, et al.",23-Oct,Global Prevalence and Burden of Orofacial Clefts: A Systematic Analysis for the Global Burden of Disease Study 2019,Other: Systematic analysis,2019,Secondary data collection from the Global Burden of Disease Study (2019),Global,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prevalence rate of orofacial cleft:
- Sub-Saharan Africa (52.15 per 100,000; 95% UI: 42.59 – 63.97)
- Sudan (100.53 per 100,000; 95% UI: 81.30 – 124.74)",NA,"Burden of orofacial cleft: 
- Sub-Saharan Africa (13.11 DALYs per 100,00; 95% UI: 6.26-28.42)
- Somalia (33.27 DALYs per 100,000; 95% UI: 6.64 – 140.75)
- Niger (28.33 DALYs per 100,000; 95% UI: 5.89 – 106.62)
- Chad (23.23 DALYs per 100,000; 95% UI: 6.26 – 79.91 )
- Burkina Faso (23.08 DALYs per 100,000; 95% UI: 6.17 – 79.99)
- Mali (22.40 DALYs per 100,000; 95% UI: 5.95 – 75.15)
- Mozambique (20.17 DALYs per 100,000; 95% UI: 6.94 – 56.62)
- Guinea (19.03 DALYs per 100,000; 95% UI: 6.46 – 53.06)
- Ethiopia (18.49 DALYs per 100,000; 95% UI: 6.20 – 48.92)
- Sierra Leone (17.64 DALYs per 100,000; 95% UI: 6.07 – 48.15)
- Benin (17.21 DALYs per 100,000; 95% UI: 6.38 – 46.80)
- South Sudan (17.10 DALYs per 100,000; 95% UI: 6.34 – 45.52)
- Central Africa (16.23 DALYs per 100,000; 95% UI: 6.08 – 42.71)
- Burundi (15.49 DALYs per 100,000; 95% UI: 5.90 – 45.91)",NA,NA
Uganda,"Kamulegeya A., Laktor F., Kabenge K.",9-Jun,ORAL MAXILLOFACIAL FRACTURES SEEN AT A UGANDAN TERTIARY HOSPITAL: A SIX-MONTH PROSPECTIVE STUDY,Other: descriptive prospective study,08/2008 - 02/2009,primary data collection (questionnaire; physical and clinical assessments),"Oral Surgery Unit of Mulago Hospital, Kampala, Uganda (tertiary referral hospital)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132 patients with 219 oral-maxillofacial fractures,NA,NA,NA,NA,NA
Democratic Republic of Congo,"Kalisya L.M., Nyavandu K., Machumu B., et al.",15-Jul,Patterns of congenital malformations and barriers to care in eastern democratic republic of congo,Other: Retrospective descriptive study,2002 - 2014,Patient medical records from 2002–2014,"HEAL Africa Teaching Hospital, Goma, DRC",approximately 6 million people,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,“Data were extracted from patient medical records.”,"75 general (1.01 per million); 2 plastic (0.03 per million); 10 orthopedic (0.14 per million); 4 neurosurgeons (0.05 per million); 8 pediatric (0.11 per million); 2 thoracic (0.03 per million), 2 urologists (0.03 per million)",“There are two plastic surgeons in the whole of the DRC (around 74 million people).”,NA,NA,NA,NA,NA,NA,NA,NA,"1,301 patients",NA,NA,NA,NA,NA
Democratic Republic of Congo (DRC),"Kalisya L.M., Bake J.F., Elisee B., et al.",2020,Surgical Repair of Orofacial Clefts in North Kivu Province of Eastern Democratic Republic of Congo (DRC),Other: retrospective descriptive study,2008 - 2017,logs of procedures for orofacial cleft,HEAL Africa Hospital (faith-based organization in the eastern DRC),*approximately 6 million people,200,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,Yes,"""Logs of procedures for orofacial cleft from 2008 to 2017 were reviewed""",0,"- ""no fellowship trained pediatric surgeons or pediatric anesthetists at HEAL Africa""
- ""funding, services, and training of local surgeons for the repair of orofacial deformities were provided by Smile Train. ""
- ""Beni Hospital surgeons otherwise practicing at HEAL Africa who underwent the training described""
- ""Specialists such as orthodontists, plastic surgeons, and otolaryngologists, none of whom are available in the Eastern DRC...""
*surgeries performed by general surgeons; number unspecified",0,#VALUE!,NA,NA,NA,NA,NA,"- local surgeons trained by NGO Smile Train
""funding, services, and training of local surgeons for the repair of orofacial deformities were provided by Smile Train."";
""Beni Hospital surgeons otherwise practicing at HEAL Africa who underwent the training described""",1112 were performed for CL + P,NA,NA,NA,NA,NA
Nigeria,"Kalayi G.D., Muhammad I.",1994,Clothing burns in Zaria,Other: retrospective descriptive study,1980 - 1989,medical records,"Ahmadu Bello University Teaching Hospital, Zaria, Nigeria",NA,NA,NA,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45 patients,NA,NA,NA,NA,NA
Uganda,"Kakembo N., Grabski D.F., Situma M., et al.",23-Feb,Met and Unmet Need for Pediatric Surgical Access in Uganda: A Country-Wide Prospective Analysis,"Other: retrospective, multi-center (registry-based) cohort study",01/2012 – 07/2019,ward-based clinical database (children treated by the pediatric surgery team at Mulago National Referral Hospital); identical prospective clinical database with the same demographic and clinical variables was established in Mbarara Regional Referral Hospital; database was expanded to two regional referral hospitals-Soroti Regional Hospital in eastern Uganda and St. Mary Lacor Regional Referral Hospital in northern Uganda,"Four regional referral hospitals in Uganda

Mulago National Referral Hospital (Kampala – quaternary referral hospital)
Mbarara Regional Referral Hospital (Southwest Uganda)
Soroti Regional Referral Hospital (Eastern Uganda)
St. Mary’s Lacor Regional Referral Hospital (Northern Uganda)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,clinical database (children treated by the pediatric surgery team at Mulago National Referral Hospital); identical prospective clinical database with the same demographic and clinical variables was established in Mbarara Regional Referral Hospital; database was expanded to two regional referral hospitals-Soroti Regional Hospital in eastern Uganda and St. Mary Lacor Regional Referral Hospital in northern Uganda,unspecified number of surgeons,“Mulago and Mbarara were the only two hospitals with fellowship-trained pediatric surgery teams…”,anesthesiologist = 3,"""There are currently three pediatric anesthesiologists in Uganda, all of whom are located in Kampala.""",NA,NA,NA,NA,NA,NA,"""...8628 patients were include in the combined database
from all four sites over the full study period.""",NA,"""Despite this important reduction in burden of disease and clear economic benefit, the operative incidence of children’s surgery at the major regional referral hospitals is 6.5 cases per 100,000 children, which is less than 1% of the total projected need compared to conservative high income country estimates.""","AVERTED DALYs
""A total of 27,503 DALYs were averted per year by pediatric surgical treatment delivery across the four hospitals."";
""Operative abdominal trauma (1698 DALYs averted) and treatment of Wilms’ tumor (1375 DALYs averted) also had large burdens of disease averted through surgical treatment.""",NA,"""By multiplying the DALYs averted by the value of statistical life in Uganda (827.32 USD), we found the overall economic benefit to pediatric surgical delivery per year across the country was 22.7 million USD."""
Cameroon,"Kadia B.M., Dimala C.A., Aroke D., et al.",17-Mar,A prospective analysis of pinch grafting of chronic leg ulcers in a series of elderly patients in rural Cameroon,Other: Prospective study,01/2015 - 01/2016,Primary data collection,Level 1 hospital (rural hospital or health center located in remote village in the North West region of Cameroon),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"general practitioners (""pinch grafting in our series was done by the same (2) general practitioners"")",NA,NA,13 patients,NA,NA,NA,NA,NA
Ghana,"Jumbam D.T., Amoako E., Blankson P., et al.",22-Jul,"The state of surgery, obstetrics, trauma, and anaesthesia care in Ghana: a narrative review",Other: narrative review,2005 - 2020,PubMed,NA,NA,NA,NA,NA,NA,NA,NA,yes (tertiary hospitals),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95 studies,NA,NA,NA,NA,NA
Cameroon,"Juillard C.J., Stevens K.A., Monono M.E., et al.",14-May,Analysis of prospective trauma registry data in Francophone Africa: a pilot study from Cameroon,Cohort study,04/2009 - 10/2009,Primary data collection (structured questionnaire),Tertiary hospital (The Central Hospital of Yaoundé),"""...serving an estimated population of more than 1.5 million inhabitants.""

""This large hospital is estimated by the Ministry of Public Health to capture approximately 75 % of trauma patients in the city of Yaoundé and constitutes multiple buildings covering a relatively large area near the urban center of the city.""",500,NA,NA,Yes,NA,NA,NA,Yes,NA,No,NA,Yes,"""Medical record keeping is minimal."" 

""Medical record keeping is limited to ward admission logbooks and a small notebook carried by the patient documenting physician prescriptions, which would not be adequate for injury surveillance or trauma registry data collection...""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,855",NA,NA,NA,"Average cost of treatment: CFA 8,613 / $18.25 (2008 USD)

""... vast majority (97.9 %) of those reported paying out of pocket. Insurance, NGO assistance, or government assistance were each used less than 1 % of the time to pay for health care.""",NA
Zambia,"Jovic G., Corlew D., Bowman K.G.",11-Jul,Plastic and Reconstructive Surgery in Zambia: Epidemiology of 16 Years of Practice,Other: Retrospective cross-sectional study,1993 – 2008,surgical log recorded by the lead author (consultant plastic surgeon in Zambia),18 government hospital; 9 mission; 6 private hospitals,All of Zambia’s nine provinces.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<100 surgeons; 1 plastic surgeon,"Ratio of 0.8 per 100,000; only 1 resident plastic surgeon in Zambia",NA,NA,NA,NA,NA,NA,NA,on staff at the major tertiary hospital in the capital city,5735 patients; 5774 surgical diagnoses,NA,NA,NA,NA,NA
Nigeria,"James O., Sabo V.Y., Adamson O.O., et al.",21-Nov,Presentation and Management of Atypical Orofacial Cleft Clefts: A Single-Institution Experience for 13 Year Period,Other: retrospective review,01/2007 - 12/2020,medical records (all individuals diagnosed with any type of the Tessier craniofacial clefts and managed between January 2007 and December 2020); additional data retrieved from the Smile Train express database,Orofacial Cleft Clinic of Lagos University Teaching Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"“Data were extracted from the retrieved medical records…""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45 patients with craniofacial clefts,NA,"""The incidence of craniofacial clefts from this study was estimated to be 52.3:1000 (5.23:100)...""",NA,NA,NA
Nigeria,"Iyun A.O., Isamah C.P., Ademola S.A., et al.",24-Aug,The incidence and prevalence of chronic wounds from a major plastic surgery service from a metropolitan city in south western Nigeria: A sixteen-year retrospective review,Other: Retrospective observational study,01/2007 – 12/2022,medical records,Tertiary Hospital,"""The study was conducted at a major tertiary hospital in southwestern Nigeria in line with the Helsinki declaration. Our facility is located in Ibadan, a metropolitan city of over 3 million population and receives approximately 80–100,000 outpatient consultations yearly.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""A prospectively collected chronic wound data base was retrospectively reviewed.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,866,"The study reports an overall chronic wound prevalence of 3.3 per 1,000 population.","Post-traumatic wounds (25.9%),

Post-infective wounds (15.6%),

Diabetic wounds (12.9%),

Sickle cell wounds (10.4%),

Post-surgical wounds (10.2%),

Venous ulcers (7.0%),

Burns (6.7%),

Pressure wounds (6.7%),

Malignant wounds (1.0%).",NA,NA,NA
Nigeria,"Iyun A.O., Ademola S.A., Olawoye O.A., et al.",16-Feb,Point Prevalence of Chronic Wounds at a Tertiary Hospital in Nigeria,Other: Cross-sectional point prevalence study,11/2012 - 11/2012,Clinical wound assessments and patient records,"University College Hospital, Ibadan, Nigeria (tertiary hospital)",NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5 consultants,“The plastic surgery department… has 5 consultants.”,NA,NA,NA,NA,NA,"""Patients with chronic wounds are usually referred to the plastic surgery department, which has 5 consultants, but there are a complement of other specialists such as vascular surgeons, physiotherapists, dietitians, endocrinologists, and microbiologists who assist with the management of the plastic surgery department""",NA,NA,48 patients with 78 wounds,NA,NA,NA,NA,NA
Democratic Republic of Congo,"Inena G., Chu B., Falay D., et al.",2020,"Patterns of skin cancer and treatment outcomes for patients with albinism at Kisangani Clinic, Democratic Republic of Congo",Other: Retrospective descriptive study,01/2015 - 12/2018,Patient medical records from 2015–2018,"Kisangani Albino Clinic, DRC",NA,NA,NA,NA,NA,NA,NA,limited,NA,NA,NA,NA,Yes,Medical records,1,“The Kisangani Albino Clinic is staffed by one physician trained with a six-month certificate course in dermatology.”,NA,NA,NA,NA,NA,NA,NA,NA,61 patients with skin cancer (from 205 patients with albinism),"""The skin cancer prevalence was 29.8% in our cohort.""",NA,NA,NA,NA
Ethiopia,"Huijing M.A., Marck K.W., Combes J., et al.",10-Aug,Facial reconstruction in the developing world: A complicated matter,Other: prospective observational case series,10/2007 (13/10/2007 - 28/10/2007),"primary data collection (daily clinical notes and photographs detailing diagnosis, surgical procedures, complications, and clinical outcome at 3 weeks)",Yekatit 12 Hospital,NA,NA,unspecified,NA,NA,NA,scarce,NA,NA,NA,NA,NA,NA,NA,"plastic surgeon = 1;
maxillofacial surgeon = 2","""The team consisted of a manager (non operating senior plastic surgeon), one plastic surgeon, two maxillofacial surgeons, an anaesthetist, an operating department practitioner, a theatre nurse, and two junior doctors.""",anaesthetist = 1,"""The team consisted of a manager (non operating senior plastic surgeon), one plastic surgeon, two maxillofacial surgeons, an anaesthetist, an operating department practitioner, a theatre nurse, and two junior doctors.""",theatre nurse = 1,NA,"manager = 1 (non operating senior plastic surgeon);
operating department practitioner = 1;
junior doctors = 2","""The team consisted of a manager (non operating senior plastic surgeon), one plastic surgeon, two maxillofacial surgeons, an anaesthetist, an operating department practitioner, a theatre nurse, and two junior doctors.""",NA,"foreign surgical team (paid for by charity, Facing Africa)",35 patients,NA,NA,NA,NA,NA
Ghana,"Holoyda K.A., Farhat B., Lalonde D.H., et al.",20-Apr,"Creating an Outpatient, Local Anesthetic Hand Operating Room in a Resource-Constrained Ghanaian Hospital Builds Surgical Capacity and Financial Stability",Other: prospective descriptive cohort,unspecified (11 months in 2017),medical records,Komfo Anokye Teaching Hospital (tertiary institution),"4,780,380 (""Access to hand surgical care in Ghana could be improved by WALANT at KATH. Komfo Anokye Teaching Hospital is the only tertiary care center in the Ashanti region and serves a projected population of 4,780,380."")",NA,"5 main operating theatres;
6 accident and emergency operating theatres;
3 poly operating theatres;
2 eye clinic operating theatres",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6 faculty;
1 plastic surgery residency","""Plastic surgery at KATH is composed of 6 faculty, a plastic surgery residency, and medical students.""",NA,NA,NA,NA,NA,NA,NA,NA,"358 total cases performed, 240 of which were hand cases",NA,NA,NA,"""The total cost of a hand surgery in main operating theater with general anesthesia is 1642.68 cedis (US $328), in main operating theater with block by anesthesia is 1117.62 cedis (US $223), and in WALAOT with WALANT 300 to 600 cedis (US $60–120)"";
""The patient cost of surgery in the WALAOT is 550 cedis for a flexor tendon repair, 400 cedis for a carpal tunnel decompression, and 300 cedis for a finger amputation revision."";
""Cost savings per case in the procedure room ranges from 500 cedis (US $100) to 2000 cedis (US $400).""",NA
Tanzania,"Holler J.T., MacKechnie M.C., Albright P.D., et al.",20-Dec,The Impact of Inadequate Soft-tissue Coverage following Severe Open Tibia Fractures in Tanzania,"Other: prospective longitudinal case series (a single‐arm, observational cohort)",12/2015 - 03/2017,primary data collection (EuroQoL-5D survey; qualitative semi-structured interviews),orthopedic institute in Tanzania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 patients with IIIB open tibia fractures,NA,NA,NA,NA,NA
Tanzania,"Holler, J.T., Albright P., Challa S., et al.",19-Oct,Barriers to Performing Soft Tissue Reconstruction Procedures among Orthopedic Surgeons in Low- and Middle-income Countries: Results of a Surgical Skills Training Course,Other: Mixed-method study (survey and semistructured interviews),2018,primary data collection (survey and interviews),Employed at teaching hospital (83% of participants),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150 participants in survey; 20 orthopedic surgeons in semistructured interviews,NA,NA,NA,NA,NA
Uganda,"Hodges S., Wilson J., Hodges A.",8-Sep,Plastic and reconstructive surgery in Uganda--10 years experience,Text and opinion,1997 - 2007,"Secondary data, prospective database of all patients treated; medical records","Mission hospital, specialist plastic and reconstructive units (Children's Orthopaedic Rehabilitation Unit, Mengo Hospital)",NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,1 plastic surgeon; 2 plastic trainees,"We currently have one consultant plastic surgeon that works with two plastic surgery trainees. Surgeons visit from UK units from time to time to offer
specialist input.",1 consultant; 4 anesthetist officers,There is one consultant anesthetist and four anesthetic officers,NA,Number not specified. the authors state that they have trained nursing staff in theatre and on the ward,NA,NA,NA,"Local providers; 
Surgeons visit from UK units from time to time to offer specialist input",NA,NA,NA,NA,NA,NA
Uganda,"Hodges A.M., Hodges S.C.",Sep-99,A rural cleft project in Uganda,Other: prospective study,NA,"primary data collection (""...all cleft patients were assessed clinically, documented and photographed..."")",20 centers across Uganda (mainly in rural Uganda),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Medical record,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,381 patients,NA,NA,NA,27 British pounds (average cost of treatment including staff and transport per cleft repair),NA
Global LMICs (regional analysis),"Higashi H., Barendregt J.J., Kassebaum N.J., et al.",14-Sep,"The burden of selected congenital anomalies amenable to surgery in low and middle-income regions: cleft lip and palate, congenital heart anomalies and neural tube defects",Other: Burden of disease and epidemiological modeling,2010 (data year),"Global Burden of Disease 2010 Study, DisMod-MR modeling",LMICs across six global super-regions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burden of Congenital Anomalies Amenable to Surgery
- Clefts: Deaths = 726 (100%); YLL (Years of Life Lost) = 60,103 (100%); YLD (Years Lived with Disability): 2,769 (9%); DALYs (Disability-Adjusted Life Years) = 62,872 (68%)
- Total for the Three Conditions (Cleft, Congenital Heart; Neural Tube Defect): Deaths = 15,172 (39%); YLL = 1,318,410 (40%); YLD =  –208,870 (0%); DALYs = 1,109,540 (32%)

Burden of Clefts Amenable to Surgery
- Deaths = 16,863 (78%)
- YLL (Years of Life Lost) = 1,421,707 (85%)
- YLD (Years Lived with Disability) = 26,106 (78%)
- DALYs (Disability-Adjusted Life Years) = 1,447,813 (85%)",NA,NA
Tanzania,"Hendricks T. C. C., Botman M., de Haas L. E. M. et al.",20-Dec,"Burn scar contracture release surgery effectively improves functional range of motion, disability and quality of life: A pre/post cohort study with long-term follow-up in a Low- and Middle-Income Country",Cohort study,2017 - 2018,primary data collection,"Haydom
Lutheran Hospital (HLH), a rural referral hospital in Tanzania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,"Preoperative mean disability (WHODAS 2.0) score: 0.22
1 month postoperatively mean disability score: 0.13
3 months postoperatively mean disability score: 0.06
6 month postoperatively mean disability score: 0.05
12 months postoperatively mean disability score: 0.03

Preoperative mean Quality of life (QoL) score: 0.69
1 month postoperatively mean QoL score: 0.79
3 months postoperatively mean QoL score: 0.86
6 month postoperatively mean QoL score: 0.89
12 months postoperatively mean QoL score: 0.93",NA,NA
Tanzania,"Hendriks T.C.C, Botman M., Binnerts J.J., et al.",22-Jan,Acute burn care in resource-limited settings: A cohort study on treatment and outcomes in a rural regional referral hospital in Tanzania,Cohort study,2017 - 2018,Primary data collection,Haydom Lutheran Hospital (HLH) (regional referral center),"""Two million people living in Manyara province in Tanzania.""",250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""The team consists of accredited surgeons, registrars...""",NA,"""The team consists of... anesthesia-associates.""",NA,"""The team consists of... nurses.""",NA,NA,NA,Training by Doctors of the World,82 burn patients; 79 patients provided consent,NA,NA,"Disability score (WHODAS 2.0):

Severe burns:
- Admission: 0.63 mean score
- 1.5 months post-injury: 0.35 mean score
- 3 months post-injury: 0.20 mean score

Disability-free:
- Admission: 2/34 (6%)
- 1.5 months post-injury: 9/31 (29%)
- 3 months post-injury: 22/32 (69%)

Skin grafting:
- Admission: 0.64 mean score
- 1.5 months post-injury: 0.36 mean score
- 3 months post-injury: 0.21 mean score

Quality of Life (QoL) (EQ-5D):

Severe burns:
- Admission: 0.25 mean score
- 1.5 months post-injury: 0.53 mean score
- 3 months post-injury: 0.73 mean score 

Full QoL score:
- Admission: 0/34
- 1.5 months post-injury: 2/33 (6%)
- 3 months post-injury: 8/30 (27%)

Skin grafting: 
- Admission: 0.22 mean score
- 1.5 months post-injury: 0.53 mean score
- 3 months post-injury: 0.70 mean score",NA,NA
Malawi,"Hayton R.A., Donley D.K., Fekadu A., et al.",17-Oct,Surgical volunteerism as a collaborative teaching activity can benefit surgical residents in low-middle income countries,Other: Descriptive report of a short-term educational intervention,01/2017 (2-week teaching activity),"Pre- and post-tests, resident feedback, surgical case logs","Malamulo Adventist Hospital, Makwasa, Malawi","""Hospital cares for 120,000 patients per year""",275 beds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2 visiting general surgeons; 1 visiting pediatric surgeon,""". On faculty, there are 2 general surgeons, one certified by the American Board of Surgery and one certified by COSECS""",NA,NA,NA,NA,1 obstetrician/gynecologist,"""In addition, there is 1 obstetrician/gynecologist""","PAACS, COSECSA, American Board of Surgery","""PAACS program accredited by COSECSA in 2015""",5 surgical residents,NA,NA,NA,NA,NA
Sudan,"Hassan A.A., Ahmed O.M., Geregandi T.M., et al.",24-Jul,"Lower extremity degloving soft tissue injuries: Patterns, treatment, and short-term Outcome in Sudan: A Sub-Saharan African setting","Other: prospective, cross-sectional, hospital-based study",01/2020 - 07/2021,primary data collection (predesigned structured questionnaire for patient interviews),plastic surgery centers at Khartoum state,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56 patients,NA,NA,NA,NA,NA
"Burundi, Democratic Republic of Congo, Ethiopia, Kenya, Rwanda, South Sudan, Tanzania, Uganda","Hamze H., Mengiste A., Carter J.",17-Sep,The impact and cost-effectiveness of the Amref Health Africa-Smile Train Cleft Lip and Palate Surgical Repair Programme in Eastern and Central Africa,Economic evaluation,01/2006 - 05/2014,Smile Train Express cleft care database,Amref Health Africa- NGO.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"
""The Smile Train Express cleft care database has been used to store collected patient data electronically for surgeries funded by Smile Train""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37,274",NA,NA,"Cleft lip (unadjusted; adjusted)
DALYs averted = (150,391; 88,732);
DALYs averted per patient = (4.61; 2.72);
cost (USD) = (11,426,100; 11,426,100);
$/DALY averted = (75.98; 128.77)

Cleft palate (unadjusted; adjusted)
DALYs averted = (57488; 33627);
DALYs averted per patient = (12.42; 7.27);
cost (USD) = (1,619,800; 1,619,800);
$/DALY averted = (28.18; 48.17)

Total (unadjusted; adjusted)
DALYs averted = (207,879; 122,359);
DALYs averted per patient = (5.58; 3.28);
cost (USD) = (13,045,900; 13,045,900);
$/DALY averted = (62.76; 106.62);
Delayed averted DALYs = (36,352; 31,601)",NA,NA
Mozambique,"Guzman K.J., Gemo N., Martins D.B., et al.",18-Aug,"Current Challenges of Plastic Surgical Care in Sub-Saharan Africa (Maputo, Mozambique)",Other: mixed-methods needs assessment (quantitative and qualitative data collection),01/2015 - 12/2015,"- primary data collection = key informant interviews with local and visiting physicians and surgeons; 
- secondary data collection = retrospective data of all patients admitted to the plastic surgery ward at HCM (plastic surgery ward discharge and mortality logbook, inpatient and outpatient operative logbooks)",Plastic surgery division at the Hospital Central de Maputo (HCM),NA,"hospital = 1,500; 
plastic surgery ward = 42","plastic surgery wing = 0; 
operating wing = 10",NA,NA,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,"HCM = 3 plastic surgeons;
Mozambique = 6 plastic surgeons overall
","- ""Currently, there are 3 plastic surgeons at HCM, 2 of which are Mozambican, 1 of whom serves as Chief of Plastic Surgery.""
- ""In total, Mozambique has 3 Mozambican plastic surgeons and 3 Cuban plastic surgeons.""",NA,NA,NA,NA,NA,NA,"HCM
Mozambican = 2 plastic surgeons;
Cuban = 1 plastic surgeon

Mozambique in General
Mozambican = 3 plastic surgeons;
Cuban = 3 plastic surgeons",#VALUE!,455 patients,NA,NA,NA,NA,NA
Cameroon,"Guifo M.L., Essiene A., Nsoga M.N., et al.",15-Dec,Surgical Management of Chronic Wounds in a Buruli Ulcer Endemic Area in Central Africa,Other: retrospective cohort and descriptive study,01/2012 - 06/2014,Surgical records from MSF-supported wound care center,Akonolinga Buruli Center (specialized wound care center),NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Not specified,"""Surgical procedures were either done under general or loco-regional anesthesia after assessment of fitness for anesthesia by the anesthesiologist.""",NA,"""The center was provided with... nurses...""",NA,"""Physiotherapist, dermatologist, social workers, and psychologist.""",NA,"""MSF has established a specialized wound care center... University of Yaoundé 1 involved in training.""",148 patients,NA,NA,NA,NA,NA
