title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,health_system_barrier,health_system_description,financial_barrier,financial_description,geograhic_accessibility_barrier,geograhic_accessibility_description,sociocultural_barrier,sociocultural_description,patient_related_barrier,patient_related_description,policy_governance_barrier,policy_governance_description,education_training_barrier,education_training_description,other_barrier,other_description_100
"Management Outcome and Factors Associated with Pediatric Surgical Patient Admitted to Arbaminch General Hospital, Southern Ethiopia, 2021: Retrospective Cross-Sectional Study","Moga F., Assefa F., Wondwossen K., et al.",22-Aug,"""To assess management outcome and factors associated with pediatric surgical patients admitted to Arbaminch General Hospital, Southern Ethiopia, 2021.""
","Trauma, Burns , surgical infections, congenital anomalies",trauma (burn; fracture; abdominal injury; head injury; chest injury); surgical infections; gastrointestinal problems; congenital anomalies,"""Trauma was the leading cause of admission in the study area, followed by surgical infection and gastrointestinal problems."";

""Twenty-six percent of patients were discharged with unfavorable outcome. Reasons for admission, preexisting medical condition, early complications, duration of hospital presentation, length of hospitalization, and type of management were all linked to the outcome of pediatric surgical admission. To have a good outcome, early identification and treatment of the cause are required, as well as well-equipped surgical care centers."";

""Twenty-nine (10.9%) of patients were discharged with significant comorbidity (body contracture, tracheostomy, and HTN), 13 (4.9%) had their limbs amputated, 8 (3.3%) had significant disfigurement, and 20 died, giving an overall mortality rate of 7.5%.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utilization of district health services by injured persons in a rural area of Ghana,"Mock C., Ofosu A., Gish O.",2001,"""The goals of the current study were to understand better the pattern of health care
utilization by injured persons in a rural area of Ghana. Given the well-known limitations of health service data in many LDCs, as well as the fact that many ill or injured persons may never receive any formal medical care, we decided to conduct a community based survey.""","trauma, burns","Blunt injuries, penetrating injuries, burns, snakebites","49% of injured persons received no formal care; PHC clinics were the most common source of care; district hospitals were the main hospital-level providers. Financial barriers were the most cited reason for not seeking care.;

""Utilization of formal medical services was highest (59%) in the group with health care available in their town or village, in contrast to those who lived further away from formal medical services (41% utilization overall; p < 0.001)."";

""Of those who did receive care, more received it from a clinic than from a hospital. Even among the severely injured one quarter received no formal care. Among those severely injured who did receive care, more received it from a clinic than from a hospital.""",NA,NA,Direct and indirect costs,"""Among those persons who did not receive formal medical care, the major reason cited was financial (53%). When only those with severe injuries are considered, financial restrictions and preference were cited equally""",Transportation issues,"""The availability of transport from their town of residence influenced the likelihood of receiving formal medical care by those persons residing in towns or villages without such care (Table 6). The percentage utilization of formal care decreased with progressively more difficult access""",Health literacy,"""Many persons (20%) indicated that they had used native herbal treatments as home remedies for their injuries, whether as the only treatment obtained or in addition to formal medical care""",traditional healers,“Preference for other treatments” and “self-treatment with herbal remedies”,user fees,“Increased user fees that have come with the implementation of structural adjustment policies in Ghana might be playing a role.”,Surgeon training gaps,"""There has been even less emphasis on the training of health workers for the management of injuries. The training provided is usually limited to basic first-aid measures""",NA,NA
Evaluation of trauma care capabilities in four countries using the WHO-IATSIC <i>Guidelines for Essential Trauma Car</i>e,"Mock C., Nguyen S., Quansah R., et al.",6-May,"""In the current study, we sought to identify priorities for affordable and sustainable methods to strengthen trauma care capabilities in countries world wide. To do so, we used the Guidelines for EsTC as a standard by which to evaluate these capabilities in the range of facilities providing trauma care in several countries.""",trauma,NA,"""Resources were partly adequate or adequate at most large hospitals, but there were gaps that could be improved, especially in low-income settings, such as shortages of airway equipment, chest tubes, and trauma-related medications; and prolonged periods where critical equipment (e.g., X-ray, laboratory) were unavailable while awaiting repairs.""

""Rural clinics everywhere had difficulties with basic supplies for resuscitation even though some received significant trauma volumes."" 

""In all settings, there was a dearth of administrative functions to assure quality trauma care, including trauma registries, trauma-related quality improvement programs, and regular in-service training.""",Infrastructure limitation,"""Airway equipment (especially at small hospitals in Ghana) often was kept in operating rooms (theaters), not in the ED, and there were considerable delays in its availability in emergency situations.
The same situation pertained to the availability of chest
tubes in some locations. Some airway and other equipment (e.g., urinary catheters) were available in adult sizes, but in only some, or no, pediatric sizes. Some equipment, such as pulse oximetry and ventilators, were available in limited numbers and thus were not available to all who needed them on an emergency basis.
 Some nonreusable items, such as chest tubes, frequently ran out of stock. The problem was often not cost of repurchase, but difficulties and delays in the procurement process. Arterial blood gas determinations were possible at
some large hospitals. However, the cost of the test kept it from being used frequently. For example, repeat tests on the same patient on the same day
were rare. here were frequent, often long, periods of inoperability
of pieces of equipment while awaiting repairs. Especially problematic were computerized axial tomography
(CT) and image intensification (C arms).
 There were occasional periods of unavailability of laboratory tests when reagents ran out of stock. Sometimes, services (such as CT scanning) were
available but only to those who could pay, often in advance. This limited the availability of such services
on an emergency basis.
 No facility had capabilities for autotransfusion from
chest tubes.
 Prostheses for amputees were absent in almost all
locations. They were sometimes available in capital
cities, at the patient s own expense. The cost and time
for travel to distant locations and the cost of the
prostheses greatly limited their availability.
 Almost every institution reported difficulties with trau-
ma-related medications, especially antibiotics and anal-
gesics. There were frequent shortages, with relatives
needing to buy medications from private pharmacies.
 Tetanus prophylaxis was limited at the clinic level. In
some locations, antitetanus serum (ATS) was avail-
able, but not toxoid. In some locations, toxoid was
present, but its use was restricted to pregnant women
and children.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Survey of care and evaluation of east African burn unit feasibility: An academic burn center exchange,"Mitchell K.B., Giiti G., Gallagher J.J.",2013,"To assess the feasibility of developing a burn unit at Sekou Toure Regional Referral Hospital (SRRH) in Mwanza, Tanzania, through an academic partnership with Weill Cornell Medical College.",Burns,"Pediatric scalds, adult flame burns, chemical burns, industrial accidents","Infrastructure exists for a burn unit; current care is limited; strong local interest in development; need for education, record-keeping, and multidisciplinary support;

""There was no specific data kept on percentage of body surface burned, degree of burn, length of stay, or complications. No adult, operative, 
or outpatient burn data were available. There are two operating theaters. Patient’s families perform wound care with nursing supervision. Rehabilitation therapists consult as needed. Meals are provided three times daily by a central kitchen. Public health outreach is possible through village-based communication networks. Infrastructure to support the development of a burn care unit exists at Sekou Toure, but needs increased clinical focus, human resource capacity building, and record-keeping to track accurate patient numbers. A multidisciplinary center could improve record-keeping and outcomes, encourage referrals, and facilitate outreach through villages.""",Lack of registry and data; limited infrastructure and supplies,"""No burn registry; no adult or operative burn data; limited ICU and anesthesia services.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No experience in reconstructive surgery,"""No provider had performed burn reconstruction; desire for training in acute and reconstructive burn care.""",NA,NA
Recording Patient Data in Burn Unit Logbooks in Rwanda: Who and What Are We Missing?,"Miranda E., Velin L., Ntirenganya F., et al.",2021,"""This study aims to explore the data collected in the CHUK burn ward logbooks between 2005 and 2019, trying to highlight and explain possible and repetitive trends in missing data""",burns,"Scalds, flame burns","64.2% of records had incomplete data; missing data associated with in-hospital mortality; data completeness improved over time

""The most frequently missing data variables were whether surgical intervention was performed (n  =  381/1093, 34.9%), and the referring facility (home vs health center vs district hospital; n = 432/1093, 39.5%)."" 

""The strongest predictor of completeness of recorded data was the year in which the patient presented to the burn ward (P < .001), and, in general, data became more complete over time.""",Lack of standardized data system,“No consistent strategy to ensure continued recording of data”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lack of burn-specific training,“Assessment of burn severity requires specific competence”,NA,NA
"Trends of cleft surgeries and predictors of late primary surgery among children with cleft lip and palate at the University College Hospital, Nigeria: A retrospective cohort study","Michael A.I., Olorunfemi G., Olusanya A., et al.",23-Jan,"“To determine the trends in cleft surgeries, patterns of cleft surgeries and identify factors related to late primary repair at the University College Hospital, UCH, Ibadan, Nigeria.”",congenital malformations,"Cleft lip, cleft palate, cleft lip and palate","""There were 314 cleft surgeries performed over the thirteen-year period of study.""

""Nearly half of the patients had a primary diagnosis of cleft lip (n = 130/314, 41.4%) and about one-third had cleft of the lip and palate (n = 119/314, 37.9%). Unilateral defects were almost twice as common on the left 99 (63.9%) as on the right 56 (36.1%). Of the 314 performed cleft surgeries, over half (n = 184, 58.6%) were for primary repairs of the lip and a third (n = 94,29.9%) were surgeries for primary repairs of the palate. Isolated defects of the palate were 50 (53.2%)""

""The prevalence of late primary cleft lip repair was about a third of the patients having primary cleft lip surgery while the prevalence of late palatal repair was more than two thirds of those who received primary palatoplasty. Compared with children who had bilateral cleft lip, children with unilateral cleft lip had a significantly increased risk of late primary repair (Adj HR:22.4, 955 CI: 2.59–193.70, P-value = 0.005).""

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pattern of congenital hand anomalies at a tertiary plastic surgery service in South-Western Nigeria: A 10-year, cross-sectional retrospective review","Michael A.I., Ademola S.A., Olawoye O.A., et al.",20-Jul,To determine the pattern of congenital hand anomalies presenting to a tertiary plastic surgery outpatient service in South‑Western Nigeria.,Congenital anomalies,"Syndactyly, polydactyly, camptodactyly, constriction band syndrome, overgrowth, undergrowth","Syndactyly was the most common anomaly (35.2%). Bilateral deformities were more prevalent (54.9%). Male preponderance (54.1%).

""... we found that the prevalence of congenital hand anomalies was approximately 13% of our paediatric plastic surgery outpatient population.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lack of robust national registry,"“Although a National Congenital Heart Defects Registry exists in Nigeria, no robust national or state birth defect registry exists.”",NA,NA,NA,NA
Preoperative quality of life of patients with cleft lip and palate in Nigeria: A multicentre pilot study,"Michael A.I., Olusanya A.A., Okoli C.M., et al.",24-Jun,"""Therefore, this multicenter pilot study seeks to determine the preoperative quality of life of the patient with a cleft across different regions in a low-resource setting using a standardized instrument, the cleft Q."";

""The objective of this study was to determine the quality of life (QoL) of the patient with a cleft lip or palate scheduled for surgery.""",congenital malformations,cleft lip; cleft palate,"""...most of the QoL measures in patients with cleft lip and palate in this study fell below normative values. Gender and cleft type affect the quality of life."";

""This pilot study had demonstrated low quality of life sores in patients with unrepaired clefts of the lip and palate. These scores fall below the normative cleft Q scores. Cleft type, gender, and possibly ethnicity are factors that affect the quality of life and should be targeted in interventions."";

“Female gender have poorer quality of life scores than males so females should be a focus of psychosocial interventions.”;

""Patients for palate repair demonstrated significantly lower speech function and distress scores than those for lip repair (p=0.01, p<0.01 respectively)."";

""Participants with cleft lip had lower psychological function scores than those with cleft palate (p=0.06). The speech function and speech distress scores of participants with cleft palate were 
significantly lower than participants with cleft lip, p<0.001 and P=0.002 respectively."";

""Cleft-related quality of life outcome scores in a homogenous African population""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Challenges in developing paediatric surgery in Sub-Saharan Africa,"Mhando S., Lyamuya S., Lakhoo K.",6-Apr,"""The aim of the present study is to report on the difficulties in developing paediatric surgery in a teaching hospital in Tanzania.""","congenital anomalies, injuries, neoplasms",NA,"""Tanzania has a population of 31 million with a total health expenditure of 10%. There is 1 doctor for 23,000 inhabitants and 1 hospital bed per 940. The infant mortality is 173 per thousand life births.""

""Forty-two percent of admissions to the surgical ward and 50% of surgical outpatients are children. Surgical newborns are cared for in the special care baby unit and there are no neonatal or paediatric ventilators.""

""Injuries (30%) account for almost the same percentage admissions as Malaria (32%) at KCMC but has not received any attention or resource from global or local health awareness programmes. The commonest categories of childhood injuries are road traffic accident, falls, burns, accidental poisoning and armed conflicts.""",NA,NA,lack of resources,"""National support for the development of paediatric surgery at KCMC received in principle without the necessary resources.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Factors Contributing to and Reducing Delays in the Provision of Adequate Care in Ghana: A Qualitative Study of Trauma Care Providers,"Mesic A., Gyedu A., Mehta K., et al.",22-Aug,"""The study aimed to understand whether providers thought factors differed between patients that were enrolled in the National Health Insurance Scheme (NHIS) and those that were not. Findings were presented for the third delay (provision of appropriate care) in the Three Delays Framework.""",trauma,NA,"""Most reported challenges were related to finance among both NHIS-insured and uninsured patients, which affect the timeliness of care, and subsequently, patient outcomes."" 

""Key findings included that most factors contributing delays in the provision of adequate care were related to the costs of care, including for diagnostics, medications, and treatment for patients with and without NHIS subscription.""

""Other challenges included limited decision-making power, not having an insurance card/money present, conflicts between providers/departments, resource constraints, insurance issues, and poor facility organization.""","Referral system issues




Infrastructure limitations



Human resource shortages 


Health system inefficiencies","""Conflict between providers, management, and other department""

""Limited bed capacity, Limited standard equipment and supplies, Limited operating theatre space""


""Limited staff""



""Poor coordination of emergency care between departments and lack of prioritization of emergency over elective surgeries""","Insurance related barriers









Direct medical costs","""Not having an insurance card or money at the time of arrival to the hospital, Insurance coverage changing over time and not covering emergencies, Insurance lapse""

""Cost of diagnostics (e.g., laboratory tests, imaging), Cost of medications (e.g., fluids, pain and anesthesia medications,
antibiotics), Cost of surgery and equipment for surgery (e.g., intramedullary nail) """,NA,NA,Gender related barriers,"""Limited decision-making power""",NA,NA,NA,NA,NA,NA,NA,NA
Pediatric burn contractures in low- and lower middle-income countries: A systematic review of causes and factors affecting outcome,"Meng, F., Zuo, K. J., Amar-Zifkin A., et al.",19-Jun,"""The objective of this study was to systematically review the literature to determine specific associations between the limited access to medical or surgical care in the acute burn phase and long-term burn disability in children in LICs and LMICs.""",Burns,Burns and contractures,"
""Many patients sought help first from a traditional healer, then from
the local dispensary or medicine supplier, others treated the
burn injuries at home with animal grease or medicinal plant
powders""

""Many children had experienced extensive delays in surgical treatment, from a few months up to 17 years.""

""Factors associated with late complications included total body surface area burned, burn depth, low socio-economic status, limited infrastructure, perceived inability to pay, lack of awareness of surgical treatment, low level of maternal education, and time elapsed between burn injury and reconstructive surgery.""",specialized care; treatment delay; electricity; number of plastic surgeons; limited infrastructure,"Lack of specialized care at early stage of burn; treatment delay of 2 months to 20 years; regional hospital and dispensaries have little access to electricity; scant number of plastic surgeons and trained personnel; limited infrastructure (facility, personnel, rehabilitation)",Low socio‐economic status,"""Low socio‐economic status, perceived inability to pay""",Distance,Long distances on bad roads to reach facilities,Traditional medicine,"""Reliance on traditional healers and local dispensaries to provide acute burn care""",NA,"""Low level of maternal education""",NA,NA,Uneducated,"Lack of awareness of surgical treatment;
Ignorance about treatment of burns and contractures",Techniques in burn care,"Low access to modern techniques in burn care (reeducation, skin expansion, silicone sheath, dermal substitutes)**"
"Non-syndromic cleft lip and/or cleft palate: Epidemiology and risk factors in Lubumbashi (DR Congo), a case-control study","Mbuyi-musanzayi S., Kayembe T.J., Kashal M.K., et al.",18-May,"""To determine the incidence and risk factors of occurrence of non-syndromic cleft lip and/or cleft palate (NSCLP) in Lubumbashi.""",Congenital malformations,Non-syndromic cleft lip and/or palate (NSCLP),"""Our study in Lubumbashi detected orofacial clefts in 0.84/1000 live births, and NSCLP had an incidence of 0.8/1000 live births."";
""Moreover, we identified novel risk factors for clefting characteristic for this region, including exposure to heavy metals from mining activities, the use of insecticides and clay consumption during the first trimester of pregnancy.""",lack of obstetric care,“Most of the pregnant women… did not receive medical care during the first trimester.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Experiences with surgical treatment of chronic lower limb ulcers at a tertiary hospital in northwestern Tanzania: a prospective review of 300 cases,"Mbunda F., Mchembe M.D., Chalya P.L., et al.",12-Sep,"""The aim of this study was to describe the patterns and treatment outcome of chronic lower limb ulcers in our local setting and to identify factors predicting the outcome.""","trauma, infections, neoplasms","traumatic ulcers (mechanical trauma, burns), infective ulcers (osteomyelitis, tropical ulcer, cellulitis),","""Chronic lower limb ulceration remains a major public health problem in this part of Tanzania. Traumatic ulcers are the most common type of chronic lower limb ulcers. The majority of patients in our environment present late when the disease is already in advanced stages predisposing them to increased risk of recurrence, malignant change and limb amputation. """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epidemiology of injuries and outcomes among trauma patients receiving prehospital care at a tertiary teaching hospital in Kigali, Rwanda","Mbanjumucyo G., George N., Kearney A., et al.",16-Oct,"""This study sought to develop a linked prehospital-hospital database to evaluate patient characteristics, mechanisms of injury, prehospital and hospital resource use, and outcomes among injured patients receiving acute care in Kigali, Rwanda.""",trauma,NA,"""A linked prehospital and hospital database provided critical epidemiological information describing trauma patients in a low-resource setting. Blunt trauma from motor vehicle collisions involving young males constituted the majority of traumatic injury. Among this cohort, hospital resource utilisation was high as was mortality. This data can help guide the implementation of interventions to improve trauma care in the Rwandan setting.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Barriers to Cleft Lip and Palate Repair Around the World,"Massenburg B.B., Jenny H.E., Saluja S., et al.",16-Oct,"""This study aims to analyze provider-perceived barriers to the surgical repair of CLP in LMICs around the world.""",congenital malformations,cleft lip; cleft palate,"""Results indicate that patient travel costs, lack of patient awareness, and lack of financial support are the most commonly reported barriers to providing CLP care worldwide. These findings have genuine implications: policymakers should consider these identified barriers to best improve healthcare equity and increase the quality of CLP care delivered around the world.""","Infrastructure limitations

Human resource shortages","""Lack of equipment = 49.8%""

""Lack of available staff = 38.8""",indirect costs,"""The most commonly reported barriers were ‘‘patient travel costs’’ (reported by 60.7% of respondents)..."";
""Regionally, ""patient travel costs"" was the most commonly reported barrier in sub-Saharan Africa..."";
""Patient travel costs, the most commonly reported barrier to care for CLP, also represents one of the largest out-of-pocket expenditures encountered when seeking healthcare.""",NA,NA,health literacy,"""The most commonly reported barriers were ""patient travel costs"" (reported by 60.7% of respondents), ""lack of patient awareness"" (54.1%)...""; 
""Lack of patient awareness was the second most commonly identified barrier to providing care, signifying that the patient and family are either unaware of the condition or unaware of the availability of safe surgical care for the condition.""",NA,NA,NA,NA,surgeon training gaps,"""Lack of training = 29.1%""",low follow-up rates,"""In Smile Train’s survey, the providers from sub-Saharan Africa reported the lowest follow-up rates of any region, with 53.5% of healthcare providers reporting a follow-up rate of <50% of patients."""
"Surgical admissions to the Rift Valley Provincial General Hospital, Kenya","Masiira-Mukasa N., Ombito B.R.",2-Jul,"“The objective of this study was to document the pattern of surgical admissions to the Rift Valley Provincial General Hospital with particular emphasis on trauma admissions.”

“The most common injuries were soft-tissue injuries, fractures, burn injuries and head injuries…”","trauma, burns","soft tissue injuries, fractures, burns, head injuries","“Three thousand four hundred and eleven admissions (57.7%) were due to trauma, 1,499 admissions (25.4%) were due to non-traumatic surgical emergencies and 997 admissions (16.9%) were for elective surgical procedures.”

“73.5% of trauma admissions were males and 57.6% were in the 21–60 year age-group.”

“Most health facilities lack basic surgical equipment and reliable electricity, severely hampering the delivery of safe surgery.”","Poor records, overcrowding",“Poor quality of data… missing or incomplete medical records”,Cost of trauma care,"“Burden… in terms of loss of production, hospital and insurance costs…”",NA,NA,NA,NA,Not seeking care,“Large proportion of trauma patients in need of surgical intervention do not seek hospital treatment”,NA,NA,NA,NA,Data limitations,“Lack of population-based data… poor surgical records”
An assessment of orofacial clefts in Tanzania,"Manyama M., Rolian C., Gilyoma J., et al.",11-Feb,"""The main objective of this study is to establish the frequency, laterality, sex and geographical distribution of orofacial clefts and their associated congenital anomalies among patients attending Bugando Medical Centre in Mwanza, Tanzania, from 2004 to 2009.""",congenital malformations,"orofacial clefts (Cleft lip and alveolus (right, left, bilateral), Cleft lip and palate (complete; right, left, bilateral), Cleft palate (soft, hard, and submucous)","""Unilateral orofacial clefts were significantly more common than bilateral clefts; with the left side being the most common affected side. Most of the other findings did not show marked differences with orofacial cleft distributions in other African populations.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burn injury and management in Liberia,Manktelow A.,May-90,"""In order to present the scope of problems involved in 
burn care in a medically and technologically underdeveloped area, the methods of burn management in such an environment are reviewed and the results analyzed. Suggestions for devising a strategy for burn care in a developing country are presented.""",burns,"Scalds, flame burns, grease burns, and chemical burns","""All burn injuries were scalds or flame burns reflecting the lifestyle of the Liberians, where cooking and heating is provided by open fires at ground level. The children were particularly vulnerable and accounted for approximately 70 percent of all victims. ""

Pediatric burden : “71 per cent (15 patients) under 15 years.”

“The mortality rate was 14.2 per cent.”

“The hospital functions under periodic shortages. Drugs, dressing materials, intravenous fluid and other necessities are often not available.”",shortage of trained personnel,"""There is also a shortage of trained personnel to deal with the high patient census.""",NA,NA,NA,NA,communication issues,"""Many patients have no idea of their age and there are language and cultural problems that hamper obtaining an accurate history.""",seek local healers initially,"""t is the usual practice for Liberians to seek help from local healers initially in most situations and therefore non-life-threatening thermal injury would not present to the hospital.""",NA,NA,NA,NA,NA,NA
Prevalence of Untreated Surgical Conditions in Rural Rwanda: A Population-Based Cross-sectional Study in Burera District,"Maine R.G., Linden A.F., Riviello R., et al.",17-Oct,"""To determine the prevalence of surgical conditions in Burera District, Northern Province, Rwanda.""",untreated surgical conditions,injuries/wounds; breast masses; neck masses; obstetric fistulas; lip/palate; clubfoot,"""The overall prevalence of any index surgical condition was 12% (95% CI, 9.2%-14.9%)."";

""The prevalence of surgically treatable conditions in northern Rwanda was considerably higher than previously estimated modeling and surveys in comparable low- and middle-income countries.""; 

""This highlights the need to expand district hospital surgical capacity in LMICs. With expanded capacity, effortsmust focus on increasing community awareness about surgically treatable conditions and improving patient access to services. Our results highlight that current methods to estimate surgical burden in LMICs potentially underestimate the need, undermining resource mobilization.""",NA,NA,direct cost; indirect cost,"“Cost of care, cost of travel…”",NA,NA,lack of awareness and trust,"“Lack of awareness about the condition, and lack of trust in the health care system.”",delayed presentation/not seeking care,“Almost one-third of households in our study did not go to the hospital when they thought care was needed.”,NA,NA,NA,NA,NA,NA
The clinical presentation and early outcomes of necrotizing fasciitis in a Ugandan Tertiary Hospital--a prospective study,"Magala J., Makobore P., Makumbi T., et al.",14-Jul,"""The purpose of this study was to describe presentation, and early outcomes of NF treatment among patients.""",skin infections,Necrotizing fasciitis,"High number of NF cases with low mortality (14%) but high morbidity; limbs and perineum most affected; monomicrobial infections common; E. coli most frequent pathogen; split skin grafting was necessary in 74% (26/35) of patients.;

""The risk factors of NF included alcohol intake (51%), HIV/AIDS (17%), DM (6%) and, malignancy (3%)."";

Wound management:
74% (26/35) required wound closure (e.g., split-thickness skin grafting or simple closure);  Wound coverage was needed for wounds with ≥1% surface area (per Lund-Browder chart); Patients with <1% wound surface area (8 patients) healed without surgical intervention; One patient required lower leg amputation due to life-threatening gangrene
",NA,NA,NA,NA,NA,NA,NA,NA,late presentation,"""Most patients presented in the later stages of illness.”",NA,NA,NA,NA,NA,NA
"Pattern of presentation and outcome of patients treated for Fournier’s gangrene at Kilimanjaro Christian Medical Centre in Moshi, Tanzania","Mabula P., Nyongole O.V., Mteta K.A.",16-Oct,"""This study aimed at evaluating the management of FG and its outcomes at Kilimanjaro Christian Medical Centre (KCMC) in Moshi, Tanzania.""",Infectious disease,Fournier’s gangrene,"FG affected only males, mostly ≥50 years. Hypertension (41%) and diabetes (20%) were common comorbidities. All patients received combined treatment. Average hospital stay was 25 days. Mortality rate was 12% (3 patients).",incomplete documentation of cases,“Incomplete documentation denied review of some case notes.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The importance of a local cleft mission and its spread,"Lucamba A., Grillo R., Bessa S., et al.",23-Jan,"""Therefore, this study aims to report on a local cleft mission carried out in Angola in September 2022. Some details of the mission were discussed. The difficulty of spreading the mission, even if local, and how the authors dealt with this action is the main purpose of the study.""",congenital malformations,cleft lip; cleft palate; cleft lip and cleft palate,"“A total of 1373 patients were clinically examined... cleft lip was present in 624 patients, cleft palate in 430, and cleft lip and palate in 319.”

""A total of 153 patients underwent cleft surgery (11.14% of all patients evaluated), spread over 10 days of the week, with a daily mean of 15.3 surgeries [5−30 § 6.31] (Table 1). Most surgeries were performed to correct cleft lip.""

“Cleft missions are a difficult task. Logistical and financial problems are exacerbated by the extreme difficulty of recruiting patients, particularly in remote regions, far from major centers.”

",NA,NA,NA,NA,NA,NA,health literacy; cultural beliefs,"""According to the literature and our research, a significant number of patients and caregivers engage with a cleft as a course, without adequate knowledge that this condition is treatable. Cultural belief is a huge barrier. Because of these beliefs and obstacles, many of the patients underwent surgery at an age that was older than generally reported in the literature.""",NA,NA,NA,NA,NA,NA,NA,NA
Increasing access to surgical services in Sub-Saharan Africa: Priorities for national and international agencies recommended by the Bellagio essential surgery group,"Luboga S., Macfarlane S.B., von Schreeb J. et al.",9-Dec,To recommend priorities for improving access to surgical services in sub-Saharan Africa,trauma; congenital anomalies,"Injuries, obstetric complications, malignancies",Surgery is cost-effective and underutilized in sub-Saharan Africa; district hospitals lack capacity; task-shifting and trauma systems are needed,Infrastructure limitation; Human resource shortages; Referral system issues,"""The priority areas are based on the experience of projects in Ghana, Malawi, Mozambique, Niger, Tanzania, and
Uganda""

""There are not enough health workers trained to provide adequate surgical services in specialist or district hospitals. This situation reflects both the critical
shortage of health workers throughout
sub-Saharan Africa and a lack of surgical specialists. The shortage in trained anesthesia providers and perioperative nursing care is also extreme in sub-Saharan Africa""

""The obstacles to providing obstetric
care recorded by Pearson and Shoo reflect the general shortcomings of district-level care, including: shortage of trained staff, poor basic infrastructure, inadequate supplies of drugs and essential equipment, poor working conditions, low staff morale, lack of communication and referral facilities, costs to patients of treatment, and poor management""

""The components of a trauma care system that need to be addressed include: improvements in pre-hospital care, patient management, strengthening of care at
clinics and hospitals, streamlining of the
referral process which includes patient transportation between institutions, instituting financing mechanisms to remove financial barriers to care, and ensuring adequate data with which to monitor the quality of care provided""",NA,NA,NA,NA,NA,NA,NA,NA,Lack of surgical integration,“Lack of national strategies to integrate surgical care into health systems.”,Limited training in advocacy,"""There is little evidence to answer basic questions about the prevalence and incidence of surgical conditions and the provision of surgical interventions in sub-Saharan Africa. For example, the global burden of surgical disease as estimated by Debas et al is, at best, a rough estimate. Weiser et al., in calculating the global volume of surgery, found data on surgical volume for only 20% of African countries compared to 54% of European countries. The lack of information about surgery in sub-Saharan Africa was noted almost 20 years ago by Nordberg. That Nordberg’s research agenda remains unmet today may be partly because surgeons are not usually trained in the skills of policy, advocacy, or research and are ill-equipped to effectively argue for a broader role for surgical services""",Poor surgical data system,NA
"District-level surgery in Uganda: Indications, interventions and perioperative mortality","Lofgren J., Kadobera D., Forsberg B.C., et al.",15-Mar,""" The aim of the current study was to provide detailed information on operative procedures, their indications, and outcomes at 2 district hospitals in rural Uganda.""",congenital malformations; trauma,"cleft lip, cleft palate, wounds","""this study showed that major operative procedures were often undertaken owing to potentially lethal emergency conditions, mainly by nonspecialist medical doctors.""

""Rates of elective operative procedures performed need to increase if the burden of surgically avertable disease is to be reduced.""",NA,NA,NA,NA,Physical distance,"""Some patients may seek care at the regional referral hospital and beyond, but the available transport options, cost, and the time it takes to
travel pose significant barriers to the mostly poor patients who often present with an emergent condition requiring immediate attention. """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
