title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,patient_related_barrier,patient_related_description
Necrotising fasciitis: Experience with 32 children,"Legbo J.N., Shehu B.B.",5-Jun,"""The aim was to describe the various presentations of NF and evaluate outcome of treatment.""",Infectious soft tissue disease,Necrotising fasciitis,"71.9% had polymicrobial infections; Staphylococcus aureus was most common (71.9%).; 40.6% were malnourished; 43.8% had no identifiable precipitating factor.; 71.9% developed septicaemia; 9.4% mortality rate.; Mean hospital stay: 27.6 days; mean follow-up: 52.4 days.

""NF in children is not uncommon in Nigeria. It is associated with significant morbidity, but mortality
can be reduced remarkably by early diagnosis and aggressive treatment.""",loss to follow-up,"""Some patients signed out against medical advice during the course of treatment."""
Necrotizing fasciitis: A comparative analysis of 56 cases,"Legbo J.N., Shehu B.B.",5-Dec,"""To highlight the differences and similarities in the modes of presentation and results of intervention of NF in children and adults.""",Infectious soft tissue disease,Necrotizing fasciitis,"NF more common in children (57.1%) than adults (42.9%) in this setting.; Trunk most affected in children; lower limbs in adults.; Polymicrobial infections in 62.5% of cases.; Mortality: 9.4% in children, 16.7% in adults.; Mean hospital stay: 36 days (children 27.6, adults 44.3).

""NF is more common in children than adults in northwestern Nigeria. Early recognition, aggressive surgical treatment and supportive therapy remain the essential keys to success.""",NA,NA
Day-care plastic surgery in Nigeria: Coping with limited resources,"Legbo J.N., Opara W.E",2005,"""This study evaluates the scope and problems of day-care plastic surgery in a resource-limited tertiary institution in Nigeria""","congenital malformations, trauma, injuries, infections,","Lipomas, Skin lesions, Tongue tie, Breast lump, Reconstruction of nose/ear, Ganglia, Keloid, Facial scar revision, Grafting of cutaneous ulcers, Constriction bands, Polydactyly, Contractures, Scalp/genital warts","""Congenital malformations were the most frequent indication for surgery, accounting for 44.8% of cases, followed by trauma-related conditions (28.7%) and tumors (16.1%)."";
""Cleft lip and palate repairs were the most common congenital malformations managed, while trauma cases were largely due to road traffic accidents and domestic injuries.""; 
""Day-care surgery was introduced to cope with the increasing demand for plastic surgical services, given the limited number of plastic surgeons and hospital bed spaces."";
""The major limitations to expanding day-care plastic surgery included inadequate resources, the cost of surgical materials, and the unavailability of trained personnel."";
""Many of our patients would not have been able to afford in-patient surgical care due to financial constraints, making the adoption of a day-care model essential."";
""This study has demonstrated that
day-care plastic surgery in our sub region is feasible. Good preoperative patient selection and preparation are essential prerequisites for day care plastic surgery especially in resource– limited environments like ours. It is safe and cost-effective.""",NA,NA
Prevalence and outcomes of pediatric surgical conditions at Connaught Hospital in Freetown: A retrospective study,"Kwasau H., Kamanda J., Lebbie A., et al.",23-Feb,"""This study aims to characterize the burden of disease and outcomes of pediatric surgical conditions at Connaught Hospital, the main pediatric referral hospital in Sierra Leone.""",pediatric surgical conditions,"congenital anomalies; infections; masses; and others (abdominal problems, acquired deformities, wounds, burns and postoperative complications)","""Congenital conditions represented over half of the surgical conditions treated at Connaught Hospital. A significant number of these conditions were inguinal hernias (65.0%), with 78.8% of this condition present in the 0–4 years age group."";

""Most of the patients were diagnosed with congenital anomalies (60.9%; n=131). However, 
infection was the leading diagnosis (60.5%; n=23) among patients aged 5–10 years (n=38). Inguinal hernia was the leading condition (65.0%; n=85) among patients presenting with a congenital anomaly."";

""A total of 215 pediatric patients underwent surgery at Connaught Hospital between June 2015 and June 2016 (table 1). Of these patients, 72.5% (n=132) were male and 27.5% (n=50) were female. Also, 62.4% (n=132) genitourinary anomalies (8.0%; n=10), and other hernias (5.0%; n=7) (figure 1). The condition with the highest mortality was infections (17.0%; n=8), followed by other conditions (9.1%; n=2) and congenital anomalies (3.1%; n=4) (figure 2). "";

""Overall, our data show that the burden of pediatric surgical disease falls on congenital anomalies. We also identified the absence of a cohort of patients with life-threatening conditions and an unequal gender distribution in access to surgical care."";
""Improving the management of congenital anomalies, increasing efforts to expand access to care for children with high mortality conditions, and reducing gender disparities are the identified priority areas.""","late presentation;
perceived need for surgery","""Reaching hospitals from rural areas poses many challenges, such as inadequate road infrastructure and transportation costs, leading to delayed arrivals and complicated conditions.""; ""Furthermore, there may be a lack of a perceived need for surgery and the belief that the condition could resolve on its own or by medication alone."""
"Surgical Needs of Internally Displaced Persons in Kerenik, West Darfur, Sudan","Kuwayama D.P., Chu K.M., Hartman Z., et al.",20-May,"""The aim of this study was to assess the surgical needs of IDPs in Darfur after the peak of the conflict."";
""The primary objective was to estimate the burden of unmet surgical needs in an IDP camp, Kerenik, West Darfur. The secondary objectives were to field test a unique sampling technique for population-based surveys in mobile populations and a newly created surgical needs survey designed to be administered by surgeon-led teams.""","Trauma, burns, neoplasms",NA,"""The majority of respondents (82%) were IDPs, while 18% were native residents of Kerenik."";

""Surgical histories included trauma (gunshots, stabbings, assaults (5% respondents; 27% relatives), burns (6% respondents; 14% relatives), and obstetrical problems (5% female respondents; 11% relatives)."";

""On physical examination, we identified untreated surgical or potentially surgical disease in 25% of subjects.""",NA,NA
Assessment of pediatric surgery capacity at government hospitals in Sierra Leone,"Kushner A.L., Groen R.S., Kamara T.B., et al.",12-Aug,"""The goal of this study was to document pediatric surgery capacity in Sierra Leone. It was aimed at helping Connaught Hospital and the MoHS identify needs and plan for the increase in pediatric surgery cases.""",NA,NA,"""Using the standard PIPES tool, we found severe deficiencies in the pediatric surgical capacity at government hospitals in Sierra Leone. However, a pediatric-specific tool is required to understand more accurately the pediatric surgical situation.""",NA,NA
A cross-sectional survey of emergency and essential surgical care capacity among hospitals with high trauma burden in a Central African country,"Kouo-Ngamby M., Dissak-Delon F.N., Feldhaus I., et al.",15-Oct,"""The objective of this study was to assess the EESC (Emergency and Essential Surgical Care) capacity in different types of hospitals across Cameroon.""",NA,NA,"""Severe disparities in infrastructure, human resources, service provision, and essential equipment and supplies demonstrate the significant gaps in capacity of hospitals to deliver EESC and effectively address the increasing surgical burden of disease and injury in Cameroon""",NA,NA
Epidemiology of congenital abnormalities in West Africa: Results of a descriptive study in teaching hospitals in Abidjan: Cote d'Ivoire,"Kouame B.D., N’guetta-Brou I.A., Yapo Kouame G.S., et al.",15-Jan,"""The aim of this study was to document the epidemiological characteristics and outcome of CAs, with the objective to create a database that would help the establishment of a register of congenital anomalies in our country.""",congenital malformations,"Craniofacial defects
Cleft lip and palate
Cleft lip
Facial dysmorphism

Limb malformations
Club foot
Flat foot
Polydactyly
Recurvatum genu","""This descriptive study reveals the low socio economic status of Parturients with congenital anomalies and their poor prenatal diagnosis. These factors explain the very high mortality of congenital anomalies due to a delay management in our country in which medical expenses were borne by parents and where technical platforms remain obsoletes for good resuscitation and neonatal surgery.""",NA,NA
Treatment of patients with extremity traumas occurred during peacekeeping missions in northern Mali,"Kolima A.K.E., Kanfitine K.N., Damessane L., et al.",18-Aug,"""To determine the nature of extremity lesions and describe their treatment following the MINUSMA camp attack""",War-related trauma,"Musculocutaneous injuries, open fractures, burns, vascular and nerve injuries, sprains","85.8% of injuries were to limbs; 29.3% musculocutaneous injuries, 10.1% open fractures, 13.7% burns; 6.7% mortality; 10% transferred to higher-level care

""Clinical and radiological examinations revealed 32 (29.3%) musculocutaneous disruptions, 11 (10.1%) open fractures, 15 (13.7%) burns, 8 (7.3%) vascular and nervous injuries and 7 sprains. Severely wounded patients underwent resuscitation upon admission. Four of them underwent emergency surgery. The remaining wounded patients underwent surgery after restoration of hemodynamic stability with resuscitation.""",NA,NA
"Evaluation of clinical presentation and management outcome of burns, experience at secondary referral hospital in a low-income, sub-Saharan country: A cohort study","Koko M.B.A., Gismalla M.D.A., Bakhiet M.Y., et al.",24-Jan,"""As a result, this research was conducted to determine, clinical presentation and management outcome of burn patients presented to a secondary teaching hospital in North Kordofan state, Elobeid, Sudan.""",burns,"scald, flame, electrical","""The incidence of burns is higher in children than in adults in our setting, with boys being more affected than girls.""

""The majority of burns in children occur as a result of accidents involving hot water, pots, kettles, or hot drinks in the bath. In adults, Flame injuries are the most common cause of burns, followed by scalds. Electrocution and chemical burns are among the most uncommon types of burns.""

""Burn depth is a primary determinant of mortality after thermal injury along with the extent of the burn and the patient's age. Moreover, the depth of the burn is determining factor of the patient's long-term appearance and function.""

""Important to be addressed that most of our patients don’t have any form of prehospital burn management as their services are not available in our setting. In our present study, many patients 56.4 % presented within the first 24 h after injury.""",NA,NA
Epidemiology of pediatric injury in Malawi: Burden of disease and implications for prevention,"Kiser M.M., Samuel J.C., Mclean S.E., et al.",12-Nov,"""The purpose of this study is to utilize a comprehensive database to describe the epidemiology of pediatric injuries at a tertiary hospital in Malawi.""",Trauma,Pediatric Trauma,"""This study revealed patterns of injury based upon age, gender, location, and season. Our results may prove useful to stakeholders in injury prevention for designing, evaluating, and implementing programs to improve public safety in children in Malawi and similar resource poor nations.""",NA,NA
Wounds of the hand and forearm due to stab phenomenon Kuluna in Kinshasa (Democratic Republic of Congo) : Types of injuries and treatment,"Kibadi K., Portaels F., Pichot Y., et al.",2015,"""The main objective of this study is to know the phenomenon Kuluna and describe the upper limb injuries caused by machetes, while insisting on the specifics of the management of these lesions in our communities.""",trauma,"Open fractures, tendon injuries, vascular and nerve injuries of the hand and forearm
","14 documented cases over a 3-year period, all from a single tertiary hospital in Kinshasa.

Predominantly affects young adults (mean age 33.5 years), with males most affected (11/14).

High proportion of injuries to the right upper limb (85.7%), palmar surface involvement (71.4%), median nerve injury (50%), and ulna fracture (62.5% of forearm fractures).

Limited human resource capacity - only one plastic and hand surgeon available.",Lack of rehab adherence,“Patients often do not follow through with rehabilitation”
"Prevalence, pattern and perceptions of cleft lip and cleft palate among children born in two hospitals in Kisoro District, Uganda","Kesande T., Muwazi L.M., Bataringaya A., et al.",14-Aug,"""The objective of the present study was to establish the period prevalence and pattern of CL and CP in children born between January 2005 and December 2010 in Kisoro District and the perception of the parents/guardians and health workers towards the children with the anomaly.""",congenital malformations,cleft lip; cleft palate; cleft lip and palate,"""The overall period prevalence of oro-facial clefts in Kisoro District was 0.77/1,000 live births."";

""Forty percent of mothers indicated that a child with oro-facial cleft was regarded as an outcast. About 91.7% (n = 22) of the medical staff reported that these children were not accepted in their communities."";

""Cleft lip and cleft palate are a medical and psychosocial problem in Kisoro District that calls for sensitization and counseling of the families and communities of the affected children.""",NA,NA
"Pediatric surgical care in Lilongwe, Malawi: Outcomes and opportunities for improvement","Kendig C.E., Samuel J.C., Varela C., et al.",14-Apr,"""In this study, we aim to describe the burden of pediatric surgical disease at a tertiary general hospital with a pediatric ward in Lilongwe, Malawi, using a hospital-based admission database""","trauma, burns, congenital malformations, tumors,","Trauma, Burns, Undescended testis, Cleft lip/palate, Hemangioma/ lymphangioma, Orthopedic anomaly, Benign, Malignancy.","“Only a third of patients admitted to the pediatric surgery service underwent surgery. More than half of patients with congenital anomalies did not undergo surgical intervention. Importantly, patients who underwent surgery had a survival advantage.”",NA,NA
A cohort of pediatric injury patients from a hospital-based trauma registry in Northern Tanzania,"Keating E.M., Sakita F., Mmbaga B.T., et al.",22-Jun,"""The goal of the study is to describe the epidemiology, clinical presentation, and hospital outcomes of these pediatric injury patients, and to examine clinical factors associated with both morbidity at discharge and in-hospital mortality.""","trauma, burns",NA,"""The mortality rate of injured children in our cohort was high, especially in children with burn injuries. In order to reduce morbidity and mortality, interventions should be prioritized that focus on pediatric injured patients that present with abnormal vital signs, altered mental status, and severe burns. These findings highlight the need for health system capacity building to improve outcomes of pediatric injury patients in Northern Tanzania.""",NA,NA
Global Prevalence and Burden of Orofacial Clefts: A Systematic Analysis for the Global Burden of Disease Study 2019,"Kantar R.S., Hamdan U.S., Muller J.N, et al.",23-Oct,"""This manuscript provides updated estimates of the global burden and prevalence of orofacial clefts""
""....By estimating and geographically mapping the burden and prevalence of congenital orofacial""",Congenital malformations,Orofacial clefts,"The GBD 2019 study demonstrates that the estimated global prevalence, prevalence rate, burden, and burden rate have decreased since 2017. Global geographic, socioeconomic and demographic disparities in burden and prevalence of orofacial clefts persist despite a global decrease over the last few decades. ; 

""There is an inverse relationship between SDI and burden of orofacial clefts, and that Sub-Saharan Africa, Middle East/North Africa, and South Asia are the regions carrying the most significant burden of orofacial clefts.""",NA,NA
ORAL MAXILLOFACIAL FRACTURES SEEN AT A UGANDAN TERTIARY HOSPITAL: A SIX-MONTH PROSPECTIVE STUDY,"Kamulegeya A., Laktor F., Kabenge K.",9-Jun,"""To investigate the epidemiological characteristics of maxillofacial fractures and associated fractures in patients seen in the Oral Surgery Unit of Mulago Hospital, Kampala, Uganda.""",trauma,"Maxillofacial fractures (mandibular, mid-facial)","""Overall, the 21-30 year age group was the most affected,  comprising 68 (or 53%) of patients. This age group was the most affected among both female and males, as shown in Table 1 (P value<0.05).""; 
""In total, 90 (68.94%) of patients had isolated mandibular fractures and 27 (20.45%) suffered isolated mid-facial injuries. The distribution of fractures according to cause of injury (Table 5) was found to be statistically significant (Chi-square= 28.27, P-value=0.005, df = 8)."";
""Symphyseal and maxillary fractures were the most common mandibular and mid-facial fractures, respectively. Among associated fractures, the femur was most affected. A total of 39 (29.54%) of patients had post-operative complications, of which infection accounted for 48.71% (n= 19), and malocclusion accounted for 17.94% (n=7)."";
""Anticipated changes in maxillofacial trauma trends necessitate regular epidemiologic studies of facial fractures to allow for development and implementation of timely novel preventive measures.""",NA,NA
Patterns of congenital malformations and barriers to care in eastern democratic republic of congo,"Kalisya L.M., Nyavandu K., Machumu B., et al.",15-Jul,"""This study was aimed at identifying the patterns of congenital anomalies treated by surgeons from HEAL Africa Teaching Hospital over the last thirteen years and determining the significant barriers to earlier care. This represents the first study to investigate the prevalence and patterns of CM diagnoses in the eastern DRC. We hope to bring attention to these very treatable conditions, promote awareness of treatment options particularly in rural areas, and encourage the development of future research studies on health care access for treatable conditions.""",Congenital malformations,"cleft lip, clubfoot,  Epispadias,  Hemangioma,  Hypospadias,  Imperforate hymen, Labia Minora Coal, Legg Perthes, Morris syndr, Patella alta, Phimosis, Polydactyly, Rokitansky syndr., Syndactyly; Thyroglossal canal; Undescended testis",“Clubfoot was the most commonly treated congenital abnormality (35%). The average age at treatment decreased significantly over time. Distance and gender were significant barriers to earlier treatment.”,NA,NA
Surgical Repair of Orofacial Clefts in North Kivu Province of Eastern Democratic Republic of Congo (DRC),"Kalisya L.M., Bake J.F., Elisee B., et al.",2020,"""The purpose of this study is to report on the experience of general surgeons with repair of CL + P following an NGO training at HEAL Africa Teaching Hospital.""",congenital malformations,"orofacial clefts (cleft lip, cleft palate)","""Multiple factors including malnutrition, risk of bleeding, procedural complexity, and cosmetic results may contribute to the distribution of procedures performed where most cleft palates are not treated. Based on previously published estimates, unmet needs and social burden of cleft lip and palate are high in the DRC.""",Late presentation,"""Although NGO guidelines recommended repair of CL after age 3 months and CP at age 15 months, the range for ages of patients undergoing repair varied from <1 year to 74 years for CL and <1 year to 39 years for CP."""
Clothing burns in Zaria,"Kalayi G.D., Muhammad I.",1994,"""The purpose of this paper is to evaluate the current risk of clothing bums, give details of the management and the outcome and to suggest how clothing burns can be minimized or if possible prevented.""",burns,clothing burns,"""Eighty per cent of the patients had a major injury with a total mortality of 42 per cent.""

""The high mortality may be connected with late presentation. Many patients (49 per cent) arrived between 6 and 72 h postinjury, while only 29 per cent arrived within 6 h of injury.""",Late presentation,"""The high mortality may be connected with late presentation."""
Met and Unmet Need for Pediatric Surgical Access in Uganda: A Country-Wide Prospective Analysis,"Kakembo N., Grabski D.F., Situma M., et al.",23-Feb,"""The purpose of this investigation was to use four prospectively collected clinical databases of pediatric surgical admissions at Ugandan hospitals to quantify pediatric surgical access in the country and the distribution of surgical cases at different levels of the healthcare system.""","neonatal, oncologic, infectious, trauma, general pediatric surgery, or subspecialty specific (urology, orthopedic, ENT, plastic or neurosurgery)","Congenital Anomalies
Malignancy/Tumors
Trauma and Burns 
","""One thousand three hundred fifty pediatric surgical cases per year are performed at the four major hospitals performing pediatric surgery in Uganda which resulted in an economic benefit of approximately 23 million USD.""

""Assuming a consistent distribution of surgical cases currently performed at the four hospitals scaled to the projected surgical need of the country, this represents an unmet burden of 2.7 million DALYS per year for children living in Uganda.""",NA,NA
A prospective analysis of pinch grafting of chronic leg ulcers in a series of elderly patients in rural Cameroon,"Kadia B.M., Dimala C.A., Aroke D., et al.",17-Mar,"""The objective of our study was to describe the outcome of Pinch Grafting of Chronic Leg Ulcers (CLUs) in elderly patients in rural Cameroon.""",Trauma,Chronic Leg Ulcers (CLU),"""The outcome of PG of CLUs in our series of older patients was satisfactory. This finding does not discount the role of conservative therapy, but we encourage clinicians in rural Cameroon to consider PG over long-term unconventional conservative therapy in the elderly.""",NA,NA
"The state of surgery, obstetrics, trauma, and anaesthesia care in Ghana: a narrative review","Jumbam D.T., Amoako E., Blankson P., et al.",22-Jul,"""This narrative review aims to provide an overview of the surgical landscape through the World Health Organization’s health system framework of five of the six domains: service delivery, workforce, infrastructure, finance, and information management.""","state of surgery, obstetrics, trauma, and anesthesia care in Ghana","Road traffic accidents, falls, household injuries, head injuries, wound/abscess care","“Ghanaians face numerous barriers to accessing quality SOTA care, primarily due to health system inadequacies.”

“Ghanaian patients cover up to 91% of direct SOTA costs out-of-pocket, while health insurance only covers up to 14% of the costs.”

“Over 77% of surgical operations performed in Ghana are essential procedures, most of which are performed at district-level hospitals that do not have consistent access to imaging and operative room fundamentals.”",health literacy; fear,"""Insufficient patient education and perception of safety and surgery quality have been found to be significant barriers to seeking SOTA care in Ghana."""
Analysis of prospective trauma registry data in Francophone Africa: a pilot study from Cameroon,"Juillard C.J., Stevens K.A., Monono M.E., et al.",14-May,"""Our aim were: (1) to pilot a data collection system designed to describe patterns of injury and emergency clinical trauma care using a prospective data collection system; and (2) assess the pilot trauma registry’s performance respective to prior experience using administrative retrospective data from the same setting.""","trauma, burns",NA,"""There were 2,855 injured patients in 6 months, comprising almost half of all ED visits.""

""RTI was the most frequent mechanism of injury recorded, involving nearly 60 % of those arriving""

""The average cost of ED care for injured patients was approximately $18.25 2008 USD, roughly equivalent to just under one week’s salary for the average Cameroonian, which was paid out of pocket by nearly every patient.""
",NA,NA
Plastic and Reconstructive Surgery in Zambia: Epidemiology of 16 Years of Practice,"Jovic G., Corlew D., Bowman K.G.",11-Jul,"The aim of the study was to provide information on the breadth and volume of surgical disease treated by plastic surgery in a low-income country, in order to inform the development of programs to address the unmet need for surgical care.","congenital conditions; acquired conditions, burns, trauma","cleft lip, cleft palate, facial clefts, microtia, other craniofacial anomalies (e.g., tongue deformities), syndactyly, polydactyly, bifid digits, congenital talipes equinovarus, hypoplastic hand, other limb anomalies (e.g., camptodactyly, arthrogryposis), hemangioma, tumors, lymphangioma, keloids, cancrum oris, craniofacial miscellaneous (e.g., postinfection ectropion or microstomia), infections (e.g., necrotizing fasciitis, Steven Johnson’s Syndrome, abscess), chronic wounds unrelated to burn, limb miscellaneous (e.g., Dupytren contracture, elephantiasis), truncal miscellaneous (e.g., postmastectomy defect), osteomyelitis","- ""The major findings of this study are that first, burn injuries, other trauma, and congenital anomalies comprise a substantial portion of plastic and reconstructive practice in Zambia. Second, pediatric cases make up the majority of cases that presented for plastic surgery for both acquired conditions, notably burns, and congenital conditions. Third, congenital anomalies are often not addressed until after 5 years of age. Of note, keloids comprised nearly 9% of all surgical cases, and cancrum oris, a devastating orofacial infection that affects primarily children, accounted for 4.1% of cases.""
- ""A key finding in our study is that many of the conditions presenting for plastic and reconstructive surgery, such as acute burns, tumor excision, and soft tissue infections, could also be treated by general surgeons and nonsurgeon clinicians.""",appraisal delay,"Many patients present late for surgical care, leading to complications like burn contractures and chronic wounds"
Presentation and Management of Atypical Orofacial Cleft Clefts: A Single-Institution Experience for 13 Year Period,"James O., Sabo V.Y., Adamson O.O., et al.",21-Nov,"""The aim of this study is to present the review of craniofacial clefts seen at LUTH. Highlighting our experience with the pattern of presentation and surgical care of these patients.""",congenital malformations,craniofacial clefts,"""Majority (n=38, 84.4%) of the patients with atypical facial clefts in this study, had no associated syndromes while 7(15.6%) patients were syndromic clefts five of which were males and 2 females). The syndromes noted in this study were: Goldenhar Syndrome in 3 patients (2 males and 1 female), ""

""The most common complication following surgical repair observed in this study was superficial wound dehiscence presenting in 33.3% of the patients operated (Table 5), 16.7% had scar contracture and residual deformity was seen in 25% of patients operated in this study""

""The high incidence as noted in this study (as well as in the
other local study), suggests that these Tessier clefts may not be
as rare as they were presumed to be; also most persons in this part of the world would hardly come to the hospital to seek treatment due to financial difficulty and cultural reasons.""",unaware of availability of care,"""Ignorance of the availability of care as some patients are not aware that these defects can be repaired."""
The incidence and prevalence of chronic wounds from a major plastic surgery service from a metropolitan city in south western Nigeria: A sixteen-year retrospective review,"Iyun A.O., Isamah C.P., Ademola S.A., et al.",24-Aug,"""This study was therefore carried out to establish the burden of chronic wound in order to document a baseline data for monitoring progress, as well as provide information for advocacy on equitable distribution of resources for wound care.""

""This study was therefore carried out to determine the prevalence and burden of chronic wounds among patients attending the consultation clinics in a major tertiary hospital in south western Nigeria.""",chronic wounds,"Traua, Metabolic disorders, Burns , Malignancies, Pressure injuries, infections, vascular disease and Hematologic disorders","""Post traumatic wound is the leading cause of chronic wound in our subregion. There is a need to improve care of acute wounds to reduce the burden of chronic wounds""",NA,NA
Point Prevalence of Chronic Wounds at a Tertiary Hospital in Nigeria,"Iyun A.O., Ademola S.A., Olawoye O.A., et al.",16-Feb,"""The aim of this study was to determine the point prevalence of chronic wounds in a tertiary hospital (University College Hospital, Ibadan, Nigeria) and thus provide data for effective wound care""",trauma (Chronic wounds),"Diabetic ulcers, pressure ulcers, postinfection ulcers, posttraumatic ulcers, burn wounds, malignant ulcers, venous ulcers","""Chronic wound care requires an interprofessional approach. Wound assessment and treatment needs to be done based on best evidence practice for most successful outcomes. It is, however, important to take into consideration patient-centered concerns such as financial constraints when deciding the wound care 
plan and dressings for patients.""",fear of hospitals,“Phobia of hospital care for various reasons… receipt of misinformation on proper wound care…”
"Patterns of skin cancer and treatment outcomes for patients with albinism at Kisangani Clinic, Democratic Republic of Congo","Inena G., Chu B., Falay D., et al.",2020,""" In order to gain a better understanding of the socio-demographics, risk factors, clinical presentations, and clinical outcomes of patients with albinism and skin cancer in the DRC, we
have collected data from patients with albinism presenting to the Kisangani Albino Clinic from 2015 to 2018""",Nomas (cancer),"skin cancer (Squamous cell carcinoma (SCC), basal cell carcinoma (BCC), actinic keratoses (AKs), SCC in situ)","“SCC was the most common histopathological diagnosis. Most patients underwent excision, and 90.2% had clinical clearance of tumors at a mean follow-up of 5.7 months.”",NA,NA
Facial reconstruction in the developing world: A complicated matter,"Huijing M.A., Marck K.W., Combes J., et al.",10-Aug,"""In this study we investigate the morbidity and outcome of a British surgical team working for a 2-week period in Ethiopia.""; ""In the present study we investigated the results of a British team who undertook complex reconstructions during a 2-week period in Ethiopia.""",facial deformities,Noma; Posttraumatic deformity; Malignancy (cheek); Ameloblastoma; Odontogenic cyst; Fibrous dysplasia; Leishmaniasis (nasal deformity); Bell's palsy (congenital); Herbal medicine injury; Neurofibromatosis; Schwannoma,"""In summary, complex operative procedures are technically possible within an under-privileged health care system. However, without meticulous attention paid to diverse aspects of management such as nutritional status, surgical planning, surgical expertise and, in particular, careful postoperative care, the initial results of complex surgery can be disappointing for both surgeon and patient alike.""",NA,NA
"Creating an Outpatient, Local Anesthetic Hand Operating Room in a Resource-Constrained Ghanaian Hospital Builds Surgical Capacity and Financial Stability","Holoyda K.A., Farhat B., Lalonde D.H., et al.",20-Apr,"""Here, we propose the use of WALANT to increase capacity for elective and emergent hand surgery in Ghana, particularly at Komfo Anokye Teaching Hospital (KATH)""",hand surgeries,NA,"""All parties have benefitted from this new initiative. Patients pay less for surgery and have increased satisfaction from the increased flexibility in scheduling cases. The hospital has maintained its normal cases load in the main operating room and added income from cases performed in WALAOT.""",NA,NA
The Impact of Inadequate Soft-tissue Coverage following Severe Open Tibia Fractures in Tanzania,"Holler J.T., MacKechnie M.C., Albright P.D., et al.",20-Dec,"""This study aimed to examine and define the domains in which IIIB open tibia fractures without appropriate soft-tissue coverage affect QOL among patients in Tanzania.""",Trauma,severe open tibia fractures,"""No patients returned to work at 6 weeks, 3 months, or 6 months. EQ-5D index scores at 1 year were poor (0.71 ± 0.09)."";

""Patients in low- and middle-income countries with IIIB open tibia fractures not treated with appropriate soft-tissue coverage experience poor QOL, high complication rates, and severe socioeconomic effects as a result of their injuries. These findings illustrate the need for resources and training to build capacity for extremity soft-tissue reconstruction in LMICs.""",NA,NA
Barriers to Performing Soft Tissue Reconstruction Procedures among Orthopedic Surgeons in Low- and Middle-income Countries: Results of a Surgical Skills Training Course,"Holler, J.T., Albright P., Challa S., et al.",19-Oct,"""This study aims to identify the barriers to performing soft tissue reconstruction among SMART course participants and provide commentary on the obstacles to surgical education delivery more broadly in LMICs.""",NA,NA,"""In surveys, respondents reported inadequate local plastic surgeon availability for lower extremity fracture requiring muscle flaps (88%)."" 

""Surgeons agreed that flap surgeries are important for patients with significant soft tissue injury following open fractures (97%). They reported inadequate access to instruments, such as dermatomes (59%) and Humby knives (32%), and senior-level support (31%).""

""Fewer than half of surgeons with flap experience (n = 85) felt confident in training peers (45%).""

""In interviews, delays in returning patients to operating rooms were frequently cited as a barrier (90%).""

""Our study demonstrates that soft tissue procedures are perceived as a high priority among orthopedic surgeons, but there are multiple barriers, including a lack of plastic surgeons, and many modifiable barriers including a lack of surgical equipment, peer training, and senior colleague support.""",NA,NA
Plastic and reconstructive surgery in Uganda--10 years experience,"Hodges S., Wilson J., Hodges A.",8-Sep,"""We describe our experience of working in plastic and reconstructive surgery in Uganda over the last 10 years. This article is based on more than 10 years experience in working towards safe and sustainable plastic and reconstructive services for children in Uganda.""",Burns; congenital malformations,cleft lip; cleft palate; burn contractures; complications to soft tissues; tumors,"There is a high burden of disease, a health system that is under resourced, and few qualified physicians to provide healthcare for a principally rural population. Subsidized up-country visits by trained specialists with the appropriate equipment are required to provide a service for the rural poor.",NA,NA
A rural cleft project in Uganda,"Hodges A.M., Hodges S.C.",Sep-99,"""The aim of the project was to travel to as many districts as possible in the available time and repair all the cleft patients who could be mobilised.""",congenital malformations,"cleft lips, cleft palates","""With the low rate of complications and no mortality associated with the cleft repairs, this project has demonstrated  that cleft surgery can be safely performed even in very basic settings, even in remote rural areas with few facilities.""",NA,NA
"The burden of selected congenital anomalies amenable to surgery in low and middle-income regions: cleft lip and palate, congenital heart anomalies and neural tube defects","Higashi H., Barendregt J.J., Kassebaum N.J., et al.",14-Sep,"""We aim to quantify the degree by which the burden of congenital anomalies could be reduced among children born with the conditions in LMICs in what we would consider a ‘hypothetical’ state where the entire population has access to safe, reliable, efficacious and high quality surgical care. """,Congenital anomalies,"cleft lip, cleft palate",57% of the burden from these anomalies is amenable to surgery; 12.4 million DALYs could be averted in LMICs,NA,NA
"Burn scar contracture release surgery effectively improves functional range of motion, disability and quality of life: A pre/post cohort study with long-term follow-up in a Low- and Middle-Income Country","Hendricks T. C. C., Botman M., de Haas L. E. M. et al.",20-Dec,"This study aimed to evaluate the impact of contracture release surgery performed in
LMIC by assessing the change in functional ROM, disability and QoL up to one-year postoperatively",Burns,Burn scar contractures,"In total, 44 patients underwent surgery on 115 affected joints. At 12 months, the follow-up rate was 86%. The mean preoperative ROM was 37.3% of functional ROM (SD 31.2). This improved up to 108.7% at 12 months postoperatively (SD 42.0, p < 0.001). Disability-free
survival improved from 55% preoperatively to 97% at 12 months (p < 0.001) postoperatively. QoL improved from 0.69 preoperatively, to 0.93 (max 1.0) at 12 months postoperatively (p <0.001). Patients who regained functional ROM in all affected joints reported significantly less disability (p < 0.001) and higher QoL (p < 0.001) compared to patients without functional ROM.

Burn scar contracture release surgery performed in an LMIC, significantly improved joint functionality, reduced disability, and
improved QoL. Results showed that regaining a functional
joint after surgery is associated with less disability and higher
QoL.",NA,NA
